date,capital,gross_return,net_return,turnover,commission_cost,positions,universe_size
2021-08-01,21802.763065490515,0.08406807341842601,0.08337630189116539,1.3835430545212288,0.0006917715272606144,8,40
2021-08-08,25941.365906259845,0.19052278727173827,0.18982010804492588,1.4053584536247514,0.0007026792268123757,8,40
2021-08-15,27204.96507604426,0.04930177122941076,0.048709816373990425,1.183909710840671,0.0005919548554203356,8,40
2021-08-22,28332.055743808472,0.04198803894584521,0.041429594363151266,1.116889165387898,0.000558444582693949,8,40
2021-08-29,33192.92054621745,0.17198006379729353,0.17156767042826537,0.8247867380562829,0.0004123933690281414,8,40
2021-09-05,33499.9847029899,0.009703584036481232,0.00925089301331276,0.9053820463369459,0.0004526910231684729,8,40
2021-09-12,32092.31403835268,-0.04161386079328916,-0.04202003902740846,0.812356468238604,0.000406178234119302,8,40
2021-09-19,26679.665969944315,-0.16837659724164672,-0.16865870320039408,0.5642119174947037,0.00028210595874735185,8,40
2021-09-26,29959.608084766347,0.12336951310030375,0.12293790029144339,0.863225617720719,0.00043161280886035955,8,40
2021-10-03,36433.43236960694,0.21674336600306587,0.21608507916805345,1.3165736700248694,0.0006582868350124347,8,40
2021-10-10,38313.79914935153,0.05202992768950805,0.05161102474970777,0.8378058796005566,0.0004189029398002783,8,40
2021-10-17,38963.7310432862,0.01743549477948471,0.016963389388798638,0.9442107813721394,0.0004721053906860697,8,40
2021-10-24,42760.12995585239,0.09785418976699332,0.09743417303513964,0.8400334637073685,0.00042001673185368426,8,40
2021-10-31,46754.177664943985,0.09404951510048801,0.09340588331268501,1.287263575605995,0.0006436317878029975,8,40
2021-11-07,43609.1694444806,-0.06673316797767168,-0.06726689201982257,1.0674480843017815,0.0005337240421508908,8,40
2021-11-14,42660.37106378078,-0.021253439123719325,-0.0217568551014884,1.0068319555381497,0.0005034159777690749,8,40
2021-11-21,42753.20704874744,0.0026117897844587564,0.0021761644976754646,0.8712505735665836,0.0004356252867832918,8,40
2021-11-28,33889.37820861689,-0.2070490764761332,-0.20732547221601333,0.5527914797602683,0.0002763957398801342,8,40
2021-12-05,33728.02227295156,-0.004026049647088314,-0.0047612539442904,1.4704085944041736,0.0007352042972020868,8,40
2021-12-12,32065.878685842305,-0.04886105072489873,-0.04928079012928737,0.8394788087772918,0.00041973940438864586,8,40
2021-12-19,39478.74323648467,0.23155159441539966,0.23117609292008218,0.7510029906349582,0.0003755014953174791,8,40
2021-12-26,38207.186871954866,-0.0315573844878442,-0.03220863331218405,1.3024976486796962,0.0006512488243398481,8,40
2022-01-02,32714.77334752868,-0.14322056092881255,-0.1437534132736103,1.0657046895955016,0.0005328523447977508,8,40
2022-01-09,37384.66959219464,0.14290735187250134,0.14274579239958973,0.3231189458232332,0.0001615594729116166,8,40
2022-01-16,24867.688889640245,-0.3345345057021859,-0.33481587075916674,0.562730113961639,0.0002813650569808195,8,40
2022-01-23,23892.587876829006,-0.03880745364096842,-0.03921156554348972,0.8082238050425987,0.00040411190252129936,8,40
2022-01-30,26513.4142773807,0.10996499994466827,0.1096920272539152,0.5459453815061158,0.0002729726907530579,8,40
2022-02-06,25889.61958777351,-0.022873984872772653,-0.023527512642510275,1.3070555394752403,0.0006535277697376202,8,40
2022-02-13,22779.395268454915,-0.11975838839351993,-0.12013402934616373,0.7512819052875992,0.0003756409526437996,8,40
2022-02-20,21671.23009762521,-0.048418616574197895,-0.0486476992813018,0.45816541420780604,0.00022908270710390302,8,40
2022-02-27,20802.661285447102,-0.03974372027069896,-0.04007934982303056,0.6712591046631966,0.0003356295523315983,8,40
2022-03-06,20209.32331331738,-0.027916295526885612,-0.028522214729554893,1.2118384053385631,0.0006059192026692815,8,40
2022-03-13,22270.970708424822,0.10245966545325078,0.10201466734657433,0.8899962133528816,0.0004449981066764408,8,40
2022-03-20,26069.61369382613,0.17096962503578603,0.17056476949899313,0.8097110735857913,0.00040485553679289564,8,40
2022-03-27,28370.076251231734,0.08887171777096285,0.08824306276354237,1.2573100148409764,0.0006286550074204882,8,40
2022-04-03,22939.352975292757,-0.19071632012572806,-0.19142434542110875,1.4160505907613614,0.0007080252953806807,8,40
2022-04-10,21382.701024799593,-0.0673953472746893,-0.06785945323609549,0.9282119228124044,0.0004641059614062022,8,40
2022-04-17,21151.975820439166,-0.010521422776754117,-0.010790274067473174,0.5377025814381129,0.00026885129071905643,8,40
2022-04-24,19245.51001351188,-0.0897537204261756,-0.09013180721798424,0.756173583617252,0.00037808679180862596,8,40
2022-05-01,16979.205603700804,-0.11699474586278881,-0.11775756569817836,1.5256396707790905,0.0007628198353895453,8,40
2022-05-08,13711.169200482862,-0.192189582602824,-0.19247286825395638,0.5665713022647367,0.0002832856511323684,8,40
2022-05-15,13046.606686078198,-0.048233814156354256,-0.048468697649888204,0.4697669870678935,0.00023488349353394675,8,40
2022-05-22,12131.375808636212,-0.06992169487039074,-0.0701508752017957,0.4583606628099377,0.00022918033140496887,8,40
2022-05-29,12054.368273745918,-0.00601738575023357,-0.006347798972270918,0.6608264440746964,0.0003304132220373482,8,40
2022-06-05,10561.121249887125,-0.12331707214924063,-0.12387600826092601,1.117872223370745,0.0005589361116853725,8,40
2022-06-12,9475.314009296035,-0.10226623375001535,-0.10281173891481407,1.0910103295974425,0.0005455051647987213,8,40
2022-06-19,9970.258005745593,0.05269785553649724,0.05223510228410137,0.9255065047917281,0.0004627532523958641,8,40
2022-06-26,9342.700310667551,-0.06257464341605895,-0.06294297446629728,0.7366621004766543,0.0003683310502383271,8,40
2022-07-03,10205.778194350587,0.09302469469149546,0.0923799174739202,1.2895544351505188,0.0006447772175752594,8,40
2022-07-10,9759.887434924804,-0.04342177470712498,-0.043690030386179295,0.5365113581086232,0.0002682556790543116,8,40
2022-07-17,11424.127671485832,0.1711672269966732,0.17051838432128913,1.2976853507681498,0.0006488426753840749,8,40
2022-07-24,12475.050955608152,0.09229995416232208,0.09199155632209734,0.6167956804494888,0.0003083978402247444,8,40
2022-07-31,12925.979217865719,0.03666082509807503,0.03614640644452452,1.0288373071010093,0.0005144186535505046,8,40
2022-08-07,12231.41760665428,-0.05342810748799493,-0.05373377130696958,0.6113276379493027,0.00030566381897465135,8,40
2022-08-14,9971.20921880669,-0.1841925252468393,-0.1847871163043248,1.1891821149710025,0.0005945910574855013,8,40
2022-08-21,8961.053456426256,-0.10091077967444763,-0.10130724771827877,0.7929360876622764,0.00039646804383113824,8,40
2022-08-28,9485.905161826755,0.059111963662777954,0.058570312960705494,1.0833014041449271,0.0005416507020724636,8,40
2022-09-04,9980.605341030927,0.05289222906692199,0.052151077916628014,1.482302300587949,0.0007411511502939745,8,40
2022-09-11,9202.145545100346,-0.07760643110389943,-0.07799725260453713,0.781643001275398,0.000390821500637699,8,40
2022-09-18,10110.217639992614,0.0989541984213937,0.09868047516111816,0.5474465205510688,0.0002737232602755344,8,40
2022-09-25,9340.981231513644,-0.07593383356580131,-0.07608504938965215,0.3024316477016563,0.00015121582385082817,8,40
2022-10-02,9973.854814312781,0.06820449371754249,0.0677523663856655,0.9042546637539944,0.0004521273318769972,8,40
2022-10-09,9310.22054763559,-0.0661122300248237,-0.06653738990915077,0.8503197686541214,0.00042515988432706073,8,40
2022-10-16,9389.526915324623,0.009036741502979256,0.008518205050381254,1.037072905196006,0.000518536452598003,8,40
2022-10-23,10090.907183048834,0.0750915370365545,0.07469814763292182,0.786778807265357,0.0003933894036326785,8,40
2022-10-30,10378.3812330203,0.028968327401906857,0.028488424752769186,0.9598052982753428,0.0004799026491376714,8,40
2022-11-06,8633.910734451962,-0.1675552650002627,-0.16808695493070316,1.063379860880961,0.0005316899304404805,8,40
2022-11-13,8184.388192870535,-0.05181923351825689,-0.05206476594525039,0.4910648539870122,0.0002455324269935061,8,40
2022-11-20,9011.994121590818,0.10131590674214667,0.10112007265750371,0.3916681692859192,0.0001958340846429596,8,40
2022-11-27,9220.816230766957,0.023301597566830236,0.02317157627476095,0.2600425841385713,0.00013002129206928563,8,40
2022-12-04,8853.07310832775,-0.039369454078956666,-0.0398818405264563,1.0247728949992658,0.0005123864474996329,8,40
2022-12-11,8045.254079515111,-0.09059452312094522,-0.09124730123969657,1.3055562375026872,0.0006527781187513436,8,40
2022-12-18,8156.499452131398,0.014284914937149475,0.013827452994870676,0.9149238845575984,0.00045746194227879925,8,40
2022-12-25,8161.477107519712,0.000829744471490547,0.0006102685861167278,0.43895177074763847,0.00021947588537381924,8,40
2023-01-01,8747.587543272646,0.07203050500621315,0.0718142596041729,0.4324908040805167,0.00021624540204025837,8,40
2023-01-08,10815.877989169536,0.2370236355530632,0.23644124001794223,1.1647910702419377,0.0005823955351209689,8,40
2023-01-15,12485.509561719393,0.1551141952312167,0.15436856575321378,1.4912589560058296,0.0007456294780029149,8,40
2023-01-22,13403.456283008154,0.07368978609964136,0.07352096578446336,0.3376406303560006,0.00016882031517800032,8,40
2023-01-29,13321.081376012095,-0.005851816685834661,-0.006145795924330938,0.5879584769925544,0.00029397923849627724,8,40
2023-02-05,12006.362452707754,-0.09825885219818191,-0.0986946094084987,0.8715144206335799,0.00043575721031678997,8,40
2023-02-12,14042.898223625627,0.17013689032833829,0.1696213802423215,1.031020172033568,0.000515510086016784,8,40
2023-02-19,13230.790050202353,-0.05719220395241168,-0.05783052475998094,1.2766416151385194,0.0006383208075692597,8,40
2023-02-26,11513.384885180383,-0.1296791042766038,-0.12980367449755617,0.24914044190472004,0.00012457022095236001,8,40
2023-03-05,11008.749724235433,-0.04300072168680115,-0.04383030411799221,1.6591648623821131,0.0008295824311910565,8,40
2023-03-12,12165.031201731132,0.10536462072506098,0.10503295164846736,0.6633381531872187,0.0003316690765936093,8,40
2023-03-19,12234.678940312326,0.006292538949404174,0.005725241261303346,1.1345953762016554,0.0005672976881008278,8,40
2023-03-26,12501.722244069959,0.022149564565006323,0.021826752059487625,0.6456250110373938,0.0003228125055186969,8,40
